# namespace/name<TAB>required data keys (`*` means non-empty dynamic data)<TAB>purpose
cert-manager/cloudflare-dns-api-token	api-token	Let's Encrypt DNS-01 updates
cloudflared/cloudflared-credentials	token	Cloudflare Tunnel enrollment
immich/immich-postgres	password	Immich PostgreSQL identity
monitoring/monitoring-grafana-admin	admin-user|admin-password	Grafana administrator login
tailscale-router/tailscale-auth	TS_AUTHKEY	Initial Tailscale enrollment
tailscale-router/tailscale-router-state-official	*	Long-lived Tailscale node identity/state
bitwarden/bitwarden-secrets	BW_INSTALLATION_ID|BW_INSTALLATION_KEY|BW_DB_PASSWORD|globalSettings__internalIdentityKey|globalSettings__oidcIdentityClientKey|globalSettings__duo__aKey|globalSettings__identityServer__certificatePassword	Bitwarden installation and database identity
bitwarden/bitwarden-smtp	globalSettings__mail__replyToEmail|globalSettings__mail__smtp__username|globalSettings__mail__smtp__password	Bitwarden SMTP identity
media/media-backup-credentials	password	Media configuration-backup encryption
github-actions-runners/github-actions-runner-auth	github_token	Repository-scoped ARC authentication
job-assistant/job-assistant-codex-auth-bootstrap	auth.json	Initial ChatGPT-managed Codex authentication seed
homelab-assistant/homelab-assistant-secrets	TELEGRAM_TOKEN|TELEGRAM_ALLOWED_USER_IDS|LLM_API_KEY	Telegram identity allowlist and internal LLM authentication
